ACT,AGE,AGO,ANC,C,CEN,CIV,CLS,CRS,CU,DG,DLG,EN,FR,GOV,ID,MRQ,NFC,PLA,PSS,RISKY,SX,TV,USG,VN,VV
RETRAITE,5,4,5,T,101,Mr,1,CI-4P,1,TUNIS CENTRE,Raoued,ES,1,Ariana,233482,RENAULT,2,2,2,No,M,BB280F,VP,2,2
PROFESSIONS_MEDICALES,2,3,1,T,103,Mme,8,CI-4P,1,SAHEL,Monastir,DI,0,Monastir,893682,VOLKSWAGEN,5,2,3,No,F,AU,VP,4,4
ETAT,8,3,2,T,113,Entreprise,4,CI-4P,1,TUNIS CENTRE,El Menzah,ES,1,Tunis,840882,OPEL,2,2,3,No,JP,DYBDA5,VP,4,4
ACTIVITES_COMMERCIALES,4,4,2,T,118,Mr,4,CAMIONNETTE,1,SAHEL,Hammam Sousse,ES,1,Sousse,635682,MITSUBISHI,2,2,5,No,M,FB83BG,u1,4,4
EMPLOYE,3,2,1,T,823,Mr,8,CI-4P,1,TUNIS NORD,El Battan,ES,1,Mannouba,1095882,KIA,2,2,3,No,M,IHS6K3615,VP,4,4
EMPLOYE,4,6,5,T,105,Mr,1,CI-4P,1,TUNIS CENTRE,Sousse Ville,DI,0,Sousse,168882,VOLKSWAGEN,5,2,3,No,M,1H,VP,1,1
TECHNICIEN,5,5,3,T,101,Mr,1,CI-4P,1,TUNIS CENTRE,Mnihla,ES,1,Ariana,130482,VOLKSWAGEN,2,2,3,No,M,GB9HWC,u1,2,2
EMPLOYE,5,3,4,T,112,Mme,4,CI-4P,1,TUNIS CENTRE,Nouvelle Medina,ES,1,Ben Arous,235682,KIA,2,2,3,No,F,IHS4K3615,VP,3,3
ACTIVITES_COMMERCIALES,2,4,2,T,113,Mme,8,CI-4P,1,TUNIS CENTRE,Cite El Khadra,ES,1,Tunis,702282,SEAT,2,2,3,No,F,6P11C2,VP,4,3
ACTIVITES_COMMERCIALES,2,3,1,T,150,Mr,4,CI-4P,1,TUNIS NORD,El Hrairia,ES,1,Tunis,1087082,SEAT,2,2,3,No,M,5F11A2,VP,4,4
TAXI_LOUAGE_TRASPORT_RURAL,3,2,3,T,101,Mr,1,CI-4P,1,TUNIS CENTRE,Nouvelle Medina,ES,1,Ben Arous,705282,TOYOTA,2,2,4,No,M,CE140LAEMDS,taxi,4,4
INGENIEUR,1,2,1,T,825,Mme,8,CI-4P,1,SAHEL,Sousse Ville,ES,1,Sousse,1076282,FORD,2,2,3,No,F,JA8FB,VP,4,4
AGRICULTURE,2,6,3,T,188,Mr,3,PLATEAU,1,CAPBON,Korba,DI,1,Nabeul,683482,FIAT,2,2,5,No,M,OM40-35B,u1,2,2
PROFESSIONS_MEDICALES,5,3,2,T,109,Mr,2,BREAK,1,CAPBON,Nabeul,DI,1,Nabeul,143082,KIA,2,2,4,No,M,PC815A,VP,5,5
EMPLOYE,5,6,2,T,111,Mr,3,CI-4P,1,SAHEL,Monastir,ES,1,Monastir,165482,RENAULT,2,2,2,No,M,B40104,VP,1,1
EMPLOYE,3,4,2,T,130,Mme,8,CI-4P,1,TUNIS SUD,Hammam Chatt,ES,1,Ben Arous,545682,FIAT,2,2,3,No,F,178CYL1ANA2,VP,2,2
PARAMEDICAL,4,6,3,T,111,Mr,2,CI-4P,1,SAHEL,Monastir,ES,0,Monastir,320082,PEUGEOT,5,2,2,No,M,20AC11,VP,1,1
INGENIEUR,3,3,2,T,173,Mme,4,CI-4P,1,TUNIS SUD,Rades,ES,0,Ben Arous,905082,MAZDA,5,2,3,No,F,BL24Z,VP,3,3
RESIDENT_A_L'ETRANGER,2,4,1,T,192,Mr,8,CI-4P,1,SUD,Midoun,DI,0,Medenine,763282,CITROEN,5,2,3,No,M,RD9HZC,VP,3,3
RETRAITE,6,5,3,T,102,Mme,2,CI-4P,1,TUNIS NORD,Rades,ES,1,Ben Arous,186882,VOLKSWAGEN,2,2,3,No,F,9N10D4,VP,2,2
PROFESSIONS_MEDICALES,4,3,1,T,143,Mme,8,BREAK,1,CAPBON,Nabeul,DI,0,Nabeul,1060682,VOLKSWAGEN,5,2,3,No,F,AUV,VP,4,4
ARTISAN,2,5,3,T,120,Mr,1,CI-4P,1,SUD,Ajim,ES,0,Medenine,612282,RENAULT,5,2,3,No,M,BB10CF,VP,3,3
EDUCATION_FORMATION,2,4,3,T,192,Mr,1,CI-4P,4,SUD,Midoun,DI,1,Medenine,462082,PEUGEOT,2,2,3,No,M,WC9HXC,VP,2,2
ACTIVITES_COMMERCIALES,2,2,1,T,136,Mr,8,CI-4P,1,TUNIS NORD,La Marsa,ES,1,Tunis,1046282,B.M.W.,2,2,4,No,M,4H11BA,VP,6,6
PROFESSIONS_MEDICALES,3,4,3,T,103,Mme,3,CI-4P,1,SAHEL,Sousse Jaouhara,ES,0,Sousse,736682,FORD,5,2,3,No,F,DA3AW,VP,3,3
INGENIEUR,3,3,3,T,132,Mr,4,CI-4P,1,SAHEL,Msaken,DI,0,Sousse,804282,CITROEN,5,2,3,No,M,RD9HL0,VP,4,4
RETRAITE,5,5,5,T,150,Mr,4,CI-4P,1,TUNIS NORD,Le Bardo,ES,0,Tunis,117482,VOLKSWAGEN,5,2,3,No,M,3C2011,VP,3,3
ARCHITECTURE_BTP_IMMOBILIER,8,3,2,T,173,Entreprise,10,CI-4P,1,TUNIS SUD,Douar Hicher,ES,0,Mannouba,846682,HYUNDAI,5,2,5,No,JP,PASSCAR,VP,5,5
INGENIEUR,4,6,3,T,101,Mr,3,CI-4P,1,TUNIS CENTRE,El Mourouj,ES,0,Ben Arous,203082,PEUGEOT,5,2,2,No,M,1AH3A8,VP,1,1
EMPLOYE,3,4,1,T,181,Mr,8,CI-4P,1,SAHEL,Kairouan Sud,ES,1,Kairouan,901682,RENAULT,2,2,2,No,M,BB1KEF,VP,2,2
RETRAITE,4,6,5,T,111,Mr,1,CI-4P,1,SAHEL,Jemmal,ES,1,Monastir,188482,FORD,2,2,3,Yes,M,AAARJ,VP,1,1
PROFESSIONS_MEDICALES,3,4,3,T,136,Mme,4,CI-4P,1,TUNIS NORD,Ariana Ville,DI,1,Ariana,501482,RENAULT,5,2,3,No,F,LMOTB5,VP,2,2
ARTISAN,3,3,2,T,808,Mr,1,CI-2P,1,CAPBON,Hammamet,DI,0,Nabeul,1063282,ISUZU,5,2,4,Yes,M,TFR54JSL,u1,4,4
EDUCATION_FORMATION,2,2,1,T,147,Mme,8,CI-4P,1,TUNIS NORD,Ariana Ville,ES,0,Ariana,1072682,KIA,5,2,3,No,F,TAS6K361B,VP,4,4
RETRAITE,5,4,3,T,122,Mr,1,CI-4P,1,TUNIS SUD,El Mourouj,ES,1,Ben Arous,225882,HYUNDAI,5,2,3,No,M,TJ5CD,VP,4,4
RETRAITE,6,2,4,T,115,Mr,11,CI-5P,1,TUNIS CENTRE,La Soukra,ES,0,Ariana,270482,TOYOTA,5,2,2,No,M,KSP130LCHMR,VP,4,4
TECHNICIEN,4,4,3,T,101,Mr,1,CI-4P,1,TUNIS CENTRE,Bab Bhar,ES,0,Tunis,297682,VOLKSWAGEN,5,2,2,No,M,9N10B4,VP,2,2
EMPLOYE,3,2,2,T,101,Mme,4,CI-4P,1,TUNIS CENTRE,Le Bardo,ES,0,Tunis,843082,PEUGEOT,5,2,3,No,F,LPHNZBC1F00,VP,4,4
EMPLOYE,2,4,2,T,188,Mme,9,CI-4P,1,CAPBON,Korba,ES,0,Nabeul,879282,RENAULT,5,2,3,No,F,LBVV05,VP,1,1
EMPLOYE,1,3,2,T,122,Mme,9,CI-4P,1,TUNIS SUD,El Mourouj,ES,1,Ben Arous,870682,VOLKSWAGEN,2,2,3,No,F,6R12C4,VP,2,2
EMPLOYE,5,5,5,T,105,Mr,1,CI-4P,1,TUNIS CENTRE,Le Bardo,DI,0,Tunis,150882,OPEL,5,2,3,No,M,OAH,VP,2,2
